"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6009130222043","20.1133268699863","12.2161903714725","2.09291010616282","3.83127360302673","0.275949465299433","0.989467955083654","2.28442986452826","-2.07950378717389","-2.3119321021686","4.22698289042988","-0.141879497693211","-0.727457998254621","5.42760758812395","-5.10718839133347","-5.40587843456699","-0.152950663568177","6.03174243457872","-0.094958446384581","0.245882555782202","1.41000953951742","-0.224764200801459","-10.6052996116165","-3.88775985287278","3.06388237087862","-1.86416771739363","3.59319794754416","-0.294411895079691","5.12561592178551","1.5830350977227","1.52178032837043","","",
"Afghanistan","AFG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86836190347819","-2.87518352770836","7.20793301758572","2.25335741303414","11.0227739357486","1.59421129024308","18.5153687132188","11.264133238155","-2.6810808487635","8.97487956759649","1.97416862890181","-0.665270517698119","-1.6228866716696","-0.541697283221509","0.08207892887539","-0.559824440560746","0.549627730870014",
"Angola","AGO","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-7.70994712206385","-3.49051429975594","0.548367120567789","2.28844087755758","-0.107675791108804","-0.67068962143081","0.488389654434116","2.49666766257133","-3.33590357797753","-6.6575321776896","-2.31085975236482","-8.87696719130457","-26.411770425863","-1.87781638971886","11.359481200189","9.95281738190118","3.87785042949145","1.36472378581571","-1.08527954316024","-0.26794453749595","0.822113704013972","9.94376401877865","-0.4318505625521","7.18703552678508","11.0308358027993","7.58232901027749","9.89001150552824","7.11687315081082","-2.8086344570206","1.07914768833575","-0.220846527749757","4.70645927983367","1.29208563664022","1.21983278695498","-2.46871516905075","-5.81623672036349","-3.40990330802828","-5.16205036467497","-4.03261354245136",
"Albania","ALB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","3.64864854696172","0.795840071464539","-1.01680217240636","-3.30749720294656","-0.290595347809159","3.61465554380214","-2.74949637957361","-3.26252233364251","6.9236172837285","-11.1879052985212","-27.5668208371351","-6.62255121373251","10.2299493626078","8.96976165264667","14.0244959282552","9.78017988648612","-10.3611049779492","9.51715258016593","13.6071564539776","7.63386640301194","9.31112396132059","4.85392213495177","5.9256301532766","5.95188082344076","6.0713909118125","6.57033160600662","6.78392659121043","8.32803599940446","4.048888488418","4.2230377474626","2.82155792832297","1.58515647484656","1.18720390657059","1.98542610277401","2.51685298606618","3.48011700478818","3.89771066605221","4.32839557846701","2.65043141253594",
"Andorra","AND","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","-0.603684764691934","2.78890725216738","2.67240932351487","1.01049023194111","-3.33802602029949","-0.181175650466031","-0.280692814867606","-1.44221540552377","-3.06444898925606","-1.33076003498734","-3.94874555214248","-2.93137260946314","-2.59533589819409","-2.59835172795356","-2.02378656786722","-1.00182403610599","1.3256729337923","0.970487690400006","0.801682524888875","-0.142614681962741","-1.36612958050706","-2.87054457996786","-4.41262289346209","-0.403571697636522","0.869722420740331","3.82047713638443","9.12362433712795","3.49242735453419","3.73035953120082","1.91345185341851","4.98692923214578","0.504740650532767","4.04088814340709","3.79288948369512","1.89242087413828","2.05754635138069","-0.523712361440857","-6.88578576343916","-5.97666808933573","-1.9587073562118","0.830101584464657","-3.45268829505082","-1.57374573479805","4.52445555660033","2.997046097693","4.66765457782807","0.731812818700448","1.58216933136615","1.66967982731359",
"Arab World","ARB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","12.2673141148023","4.80927968876091","-3.84566343083831","7.95908367492663","5.68455691012599","-0.290452906016341","-11.865028582964","-9.65074438267241","-1.6560970305521","-5.1569793125939","1.69163078297186","-3.31142280029505","2.66811875044949","-0.437514276028821","9.09854747374811","-1.18333817163048","3.07830507950406","0.557170817288835","0.588981378675939","-0.354326943479819","2.21618358201015","1.94856193889859","3.02773498615817","-0.352708151195188","3.23723458244109","-0.572753697848924","-1.5439358298586","3.07585784449604","6.92500118358058","3.36497597137947","4.02902586800842","2.07120371810852","3.27446384283058","-1.96007226951994","2.20636085645492","1.45251074821022","4.21268655222404","0.939038379608121","0.281233063678016","1.05798131273698","1.37491653145518","-0.796334150719673","0.170654444603514","-0.437826240851166",
"United Arab Emirates","ARE","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","0.156119320394026","5.350448743491","-13.3874304778413","8.4332934024408","13.2115534517906","-2.69925264971185","-12.1806286389399","-9.68144677701443","-1.2492861493968","-8.68888974797733","-19.6745445052809","-2.49356343491372","-8.21674673584535","5.91828003962591","11.6783978861004","-4.80060100968629","-2.481442037619","-4.34197372850511","1.24725770301974","1.35567882930012","0.630164735604779","2.83482887723379","-4.76507560132538","-2.39965285087459","4.90950392382491","-3.77897143889184","-2.75061493068959","1.96652820534193","-0.037811250770531","-7.02058381682086","-4.91664301630517","-11.3455042903779","-10.2087752033669","-15.1512555806894","-5.91481032440899","2.18792077509458","2.25792624286404","4.41015904513891","4.10021946778836","4.55305540479327","1.98113939908654","1.01150251085575","-0.320549385279065","0.225275018852898",
"Argentina","ARG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","3.72878831950834","-2.42590802934959","-6.78817817754361","8.43723374065331","8.89676981490285","-2.13646867084347","1.67846614591258","3.28692856462828","8.05028380596933","1.47949852690094","4.00746511768637","0.00581141412814645","1.15692095388221","3.85178245373952","-1.58784478536853","-3.50638721414485","5.34298609554963","-5.91641878440657","8.57775376919905","-0.0296320549168314","-6.66851449554107","-2.30775590527286","2.68198172175644","-0.0518399787976591","-6.6925877848595","4.48430957214457","1.10605155538015","-2.60325448914919","-8.54082459769428","-3.87410316538033","7.6143428188072","6.48760632394378","6.80292086144149","4.50547229943265","-4.03215595317569","4.27459836967437","6.86475427079152","2.68095412136933","-4.45515726428921","-1.87491241541325","-5.44709154527357","-11.8547768361233","7.6765455385672","7.88493756497286","7.72947520461582","6.95554738176538","7.92423813871991","3.02947731150856","-6.85422733296183","9.30012832232192","4.78868313859434","-2.14528444981811","1.26568517537076","-3.57858050983292","1.62966427946265","-3.11006389821465","1.60928234377617","-3.46737624314432","-3.13005137908782",
"Armenia","ARM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.8708960479915","-40.7444525866327","-6.63846818137284","7.94992079244619","9.10352162624588","7.50696854011277","4.47964116012301","8.14226381315241","3.95761736439178","6.57036386932319","10.2791514173692","13.8234253511397","14.6061249888998","11.1338232157614","14.643129486135","14.0786439000415","14.6959835546261","7.81913724567667","-13.5192417000568","2.5826480831637","4.72842677551959","6.91414364116028","2.82388903997261","3.07285852953729","2.73612872506502","-0.161500620200783","7.18375792793341","4.95169918042562","7.3833616376878",
"American Samoa","ASM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0957531149405924","0.240184563135955","-0.202616988891734","-3.42895088568189","3.25980682816665","-1.13469288616294","-2.87052854456408","1.52429560889686","0.869269598167648","-4.23437728864654","-2.83679849163519","0.803753378222453","1.36590155070407","-2.64538324917581","-5.64961891041834","2.47043521275813","",
